wp_site_url,wp_tagline,wp_site_title,site_type,openshift_env,category,theme,theme_faculty,status,installs_locked,updates_automatic,langs,unit_name,Jahia_zip,comment
https://migration-wp.epfl.ch/www.ofs26.org,#parser,#parser,wordpress,int,GeneralPublic,epfl-blank,#parser,yes,yes,yes,#parser,sci-sti-lt,OFS-26,sci-sti-lt
https://migration-wp.epfl.ch/schoonjans-lab,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,upschoonjans,schoonjans-lab,upschoonjans
https://migration-wp.epfl.ch/pps,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,sph-ge,pps,sph-ge
https://migration-wp.epfl.ch/securite,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,dsps,securite,dsps
https://migration-wp.epfl.ch/sesame,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,exdesk,sesame,exdesk
https://migration-wp.epfl.ch/sf,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,sf,sf,sf
https://migration-wp.epfl.ch/sfbe,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,uplut,sfbe,uplut
https://migration-wp.epfl.ch/sfi,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,sfi-ge,sfi,sfi-ge
https://migration-wp.epfl.ch/sfp,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,rh-f,sfp,rh-f
https://migration-wp.epfl.ch/shine,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,lapd,shine,lapd
https://migration-wp.epfl.ch/si,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,lsi1,si,lsi3
https://migration-wp.epfl.ch/si-erp,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,exdesk,si-erp,exdesk
https://migration-wp.epfl.ch/signatures,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,crm,signatures,crm
https://migration-wp.epfl.ch/simanis-lab,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,uprad,simanislab,uprad
